=== Reaper CPU monitor Sat Jul  4 10:08:04 CDT 2026 ===
SPIKE [10:08:04] reaper=25.9 111216 | webcontent=cpu=30.1% rss=336448KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
SPIKE [10:08:05] reaper=23.5 120704 | child pid=88423 cpu=9.3% rss=370608KB cmd=/Users/sunny/dev/reaper_org/reaper/dist/Reaper.app/Contents/Resources/jdk-21-arm64/Contents/Home/bin/java | webcontent=cpu=11.7% rss=315936KB | javac_count=0 | jdtls: pid=88423 cpu=5.6%
SPIKE [10:08:06] reaper=20.4 121008 | webcontent=cpu=19.2% rss=325568KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
SPIKE [10:08:07] reaper=24.8 121184 | webcontent=cpu=11.8% rss=334112KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
SPIKE [10:08:08] reaper=25.9 121696 | webcontent=cpu=12.9% rss=334480KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
SPIKE [10:08:10] reaper=26.1 121984 | webcontent=cpu=14.8% rss=335088KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
SPIKE [10:08:11] reaper=21.9 122288 | webcontent=cpu=29.5% rss=346336KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
SPIKE [10:08:12] reaper=22.8 122656 | webcontent=cpu=18.5% rss=349360KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
SPIKE [10:08:13] reaper=22.3 118704 | webcontent=cpu=10.4% rss=334928KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
SPIKE [10:08:14] reaper=22.5 118448 | webcontent=cpu=10.9% rss=323568KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
SPIKE [10:08:16] reaper=25.1 118496 | webcontent=cpu=10.1% rss=323632KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
SPIKE [10:08:17] reaper=25.6 118672 | webcontent=cpu=9.9% rss=323856KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
SPIKE [10:08:18] reaper=25.1 118848 | webcontent=cpu=9.6% rss=323872KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
SPIKE [10:08:19] reaper=25.0 118960 | webcontent=cpu=10.0% rss=325584KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
SPIKE [10:08:20] reaper=23.5 118976 | webcontent=cpu=9.1% rss=325584KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:21] reaper=2.9 137696 | webcontent=cpu=8.9% rss=325600KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:23] reaper=4.8 137696 | webcontent=cpu=13.4% rss=325584KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:24] reaper=3.5 137760 | webcontent=cpu=12.8% rss=326528KB | javac_count=0 | jdtls: pid=88423 cpu=0.8%
[10:08:25] reaper=3.7 137824 | webcontent=cpu=20.0% rss=334720KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:26] reaper=4.4 137824 | webcontent=cpu=13.2% rss=337616KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:27] reaper=2.9 137824 | webcontent=cpu=12.9% rss=338240KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:29] reaper=3.4 137824 | webcontent=cpu=12.8% rss=338256KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:30] reaper=4.7 137888 | webcontent=cpu=14.3% rss=338464KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
SPIKE [10:08:31] reaper=5.0 137936 | webcontent=cpu=40.9% rss=360912KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:32] reaper=3.7 137968 | webcontent=cpu=14.0% rss=369552KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:33] reaper=5.0 137968 | webcontent=cpu=13.7% rss=371136KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:34] reaper=3.6 137968 | webcontent=cpu=15.4% rss=372448KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:36] reaper=2.9 137968 | webcontent=cpu=11.4% rss=372448KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:37] reaper=5.2 137968 | webcontent=cpu=13.0% rss=372960KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:38] reaper=3.6 134000 | webcontent=cpu=16.7% rss=393744KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:39] reaper=4.2 134000 | webcontent=cpu=15.1% rss=393776KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:40] reaper=3.1 125296 | webcontent=cpu=15.3% rss=393824KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:42] reaper=3.1 125312 | webcontent=cpu=11.0% rss=394240KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:43] reaper=5.1 125328 | webcontent=cpu=15.6% rss=394288KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:44] reaper=4.1 125712 | webcontent=cpu=14.8% rss=395472KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:45] reaper=3.2 121680 | webcontent=cpu=12.3% rss=395472KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:46] reaper=5.2 121680 | webcontent=cpu=14.3% rss=395568KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:47] reaper=4.1 121696 | webcontent=cpu=15.5% rss=396048KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:49] reaper=3.3 121696 | webcontent=cpu=16.2% rss=397216KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:50] reaper=3.5 121728 | webcontent=cpu=15.5% rss=398032KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:51] reaper=5.0 121728 | webcontent=cpu=22.5% rss=398160KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:52] reaper=7.7 121680 | webcontent=cpu=33.2% rss=406496KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:53] reaper=6.2 121840 | webcontent=cpu=15.8% rss=403344KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:55] reaper=4.7 121824 | webcontent=cpu=15.0% rss=403424KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:56] reaper=2.9 121824 | webcontent=cpu=12.4% rss=403520KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:57] reaper=3.2 121824 | webcontent=cpu=10.7% rss=403536KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:58] reaper=3.1 121856 | webcontent=cpu=12.3% rss=403520KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:08:59] reaper=3.2 121808 | webcontent=cpu=11.5% rss=403472KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:00] reaper=3.4 121808 | webcontent=cpu=12.2% rss=403824KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:02] reaper=0.5 119488 | webcontent=cpu=13.6% rss=362832KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
[10:09:03] reaper=0.0 119440 | webcontent=cpu=9.1% rss=363312KB | javac_count=0 | jdtls: pid=88423 cpu=0.0%
